id,name,scientific_name,classification,habitat,diet,conservation_status,region
931,Maria Wolf,Stephenson Price,Bird,Rivers,Carnivore,Least Concern,Worldwide
932,Alexander Bear,Williams Hawkins,Mammal,Forest,Carnivore,Near Threatened,South America
933,Terry Wolf,Lynch Sandoval,Bird,Tundra,Herbivore,Near Threatened,Europe
934,Daniel Bear,Jacobson Blackwell,Fish,Mountains,Herbivore,Critically Endangered,Worldwide
935,Tanya Eagle,Miller Chapman,Fish,Desert,Omnivore,Vulnerable,Australia
936,Natasha Falcon,Rodriguez Vaughan,Mammal,Savannah,Carnivore,Least Concern,Antarctica
937,Mark Tiger,Rosario Burton,Amphibian,Caves,Herbivore,Near Threatened,North America
938,Donna Crocodile,Wheeler Downs,Fish,Mountains,Carnivore,Critically Endangered,Asia
939,Jessica Lizard,Barrett Bird,Mammal,Mountains,Carnivore,Least Concern,Australia
940,Kelly Python,Goodwin Holder,Bird,Ocean,Omnivore,Critically Endangered,Antarctica
941,Jennifer Eagle,Robinson Perez,Amphibian,Grasslands,Herbivore,Endangered,North America
942,Casey Shark,Harper Christensen,Fish,Ocean,Carnivore,Near Threatened,Asia
943,Katelyn Wolf,Hampton Miller,Amphibian,Mountains,Omnivore,Least Concern,Europe
944,Tonya Bear,Weiss Bates,Amphibian,Tundra,Carnivore,Near Threatened,North America
945,Carolyn Owl,Estrada Martinez,Reptile,Wetlands,Carnivore,Endangered,Africa
946,Tonya Puma,Collins Gardner,Bird,Ocean,Omnivore,Vulnerable,Europe
947,James Python,Reyes Sutton,Mammal,Wetlands,Carnivore,Least Concern,Asia
948,Karen Crocodile,Burton Aguirre,Fish,Wetlands,Herbivore,Critically Endangered,Australia
949,Stephanie Falcon,Wilson Vega,Amphibian,Forest,Omnivore,Near Threatened,South America
950,Richard Wolf,Rodriguez Brown,Amphibian,Desert,Carnivore,Least Concern,South America
951,Dustin Falcon,Moses Mcintyre,Bird,Savannah,Omnivore,Critically Endangered,South America
952,Hannah Crocodile,Yang Kennedy,Fish,Ocean,Carnivore,Vulnerable,Africa
953,Patricia Owl,Simpson Richardson,Bird,Rivers,Herbivore,Endangered,North America
954,Patrick Wolf,Jones Rhodes,Mammal,Rivers,Herbivore,Endangered,Worldwide
955,Brian Crocodile,Martinez Collins,Bird,Ocean,Herbivore,Near Threatened,South America
956,Bryce Falcon,Smith Mathews,Bird,Ocean,Carnivore,Vulnerable,Europe
957,David Wolf,Hendricks Murray,Mammal,Wetlands,Herbivore,Near Threatened,Worldwide
958,Ronald Bear,Jackson Davis,Fish,Wetlands,Omnivore,Vulnerable,Africa
959,Theresa Eagle,Hammond Ho,Mammal,Rivers,Omnivore,Endangered,South America
960,Gloria Tiger,Jones Taylor,Fish,Savannah,Omnivore,Near Threatened,Australia
961,James Eagle,Wilson Martinez,Fish,Grasslands,Carnivore,Least Concern,Australia
962,Christian Eagle,Maynard Lynch,Bird,Rivers,Omnivore,Least Concern,Antarctica
963,Tony Crocodile,White Ayala,Fish,Rivers,Herbivore,Least Concern,Africa
964,Katherine Tiger,Poole Hardin,Fish,Tundra,Herbivore,Vulnerable,Worldwide
965,Teresa Puma,Bruce Hernandez,Bird,Forest,Herbivore,Vulnerable,South America
966,Christopher Bear,Brown Adkins,Amphibian,Wetlands,Omnivore,Near Threatened,Australia
967,Ryan Owl,Perez Morrison,Reptile,Desert,Herbivore,Near Threatened,South America
968,Autumn Tiger,Smith Castillo,Amphibian,Forest,Herbivore,Vulnerable,South America
969,Richard Puma,Hernandez Young,Amphibian,Wetlands,Carnivore,Endangered,Europe
970,Julie Crocodile,Harris King,Bird,Rivers,Omnivore,Least Concern,Asia
971,Joanna Owl,Smith Bell,Mammal,Tundra,Omnivore,Near Threatened,North America
972,Susan Shark,Cisneros Garcia,Reptile,Rivers,Herbivore,Near Threatened,Europe
973,Stephanie Bear,Olson Velez,Mammal,Wetlands,Herbivore,Critically Endangered,Antarctica
974,Whitney Wolf,Johnson Golden,Amphibian,Desert,Omnivore,Least Concern,North America
975,Molly Falcon,Ellis Kramer,Fish,Caves,Herbivore,Near Threatened,South America
976,Megan Wolf,Brown Acevedo,Bird,Savannah,Omnivore,Endangered,Australia
977,Michelle Lizard,Ellison Bryant,Mammal,Mountains,Herbivore,Near Threatened,South America
978,Kenneth Tiger,Ross Rodriguez,Mammal,Tundra,Carnivore,Least Concern,Africa
979,Joseph Shark,Thomas Wood,Bird,Caves,Omnivore,Vulnerable,Africa
980,Alejandro Eagle,Hudson Wilson,Mammal,Rivers,Herbivore,Endangered,Europe
981,Kimberly Bear,Mclean Johnson,Fish,Grasslands,Carnivore,Near Threatened,South America
982,Allen Falcon,Richardson Tran,Bird,Tundra,Carnivore,Vulnerable,North America
983,Barbara Python,Bailey Thomas,Mammal,Forest,Herbivore,Near Threatened,Europe
984,Kevin Shark,Shields Casey,Mammal,Caves,Carnivore,Critically Endangered,Europe
985,Teresa Python,Johnson Smith,Mammal,Rivers,Omnivore,Critically Endangered,Europe
986,Joseph Shark,Alvarez Stewart,Bird,Forest,Herbivore,Critically Endangered,Africa
987,Christopher Crocodile,Reid Lewis,Reptile,Rivers,Herbivore,Near Threatened,Asia
988,Victor Tiger,Murray Warner,Mammal,Caves,Omnivore,Least Concern,South America
989,Yvonne Owl,Smith Wiggins,Mammal,Mountains,Herbivore,Vulnerable,South America
990,Cheryl Tiger,Taylor Pacheco,Amphibian,Mountains,Carnivore,Endangered,Australia
991,Rachel Puma,Mcmillan Harrison,Amphibian,Rivers,Omnivore,Vulnerable,North America
992,Shawn Owl,Reynolds Mitchell,Amphibian,Wetlands,Omnivore,Endangered,Antarctica
993,Susan Falcon,Ramos Foster,Reptile,Desert,Omnivore,Endangered,Australia
994,Daniel Crocodile,Cochran Khan,Fish,Savannah,Herbivore,Near Threatened,Europe
995,Jill Owl,Obrien Chavez,Bird,Tundra,Omnivore,Vulnerable,Asia
996,Tiffany Wolf,Moran Brown,Fish,Savannah,Carnivore,Critically Endangered,South America
997,Jesus Tiger,Smith Edwards,Fish,Rivers,Carnivore,Near Threatened,North America
998,Crystal Wolf,Hull Watson,Fish,Tundra,Omnivore,Endangered,Africa
999,Maria Owl,Williams Gates,Fish,Mountains,Omnivore,Critically Endangered,North America
1000,John Python,Moore Hayes,Amphibian,Mountains,Carnivore,Near Threatened,Asia
1001,Sean Lizard,Cruz King,Mammal,Wetlands,Carnivore,Vulnerable,Asia
1002,Kevin Wolf,Brown Stewart,Fish,Rivers,Carnivore,Vulnerable,South America
1003,Andre Python,Harmon Brown,Mammal,Savannah,Carnivore,Vulnerable,South America
1004,Michael Wolf,Anderson Martinez,Fish,Forest,Omnivore,Least Concern,Worldwide
1005,Sydney Eagle,Ryan Chapman,Bird,Savannah,Omnivore,Near Threatened,Africa
1006,Corey Puma,Smith Martinez,Amphibian,Caves,Herbivore,Vulnerable,Africa
1007,Judy Lizard,Christian Fuller,Mammal,Caves,Herbivore,Critically Endangered,Australia
1008,Matthew Puma,Sanchez Jones,Mammal,Grasslands,Omnivore,Least Concern,Antarctica
1009,Tracey Lizard,Gonzalez Harris,Fish,Grasslands,Omnivore,Least Concern,North America
1010,Brittany Falcon,Williamson Byrd,Bird,Caves,Omnivore,Least Concern,Australia
1011,Julie Owl,Moreno Maddox,Reptile,Ocean,Omnivore,Vulnerable,Europe
1012,Jane Shark,Williams Jenkins,Bird,Grasslands,Carnivore,Endangered,Europe
1013,James Wolf,Li Garcia,Bird,Caves,Carnivore,Near Threatened,Europe
1014,James Wolf,Benson Jackson,Amphibian,Desert,Herbivore,Least Concern,Europe
1015,Brittany Wolf,Chase Scott,Reptile,Grasslands,Omnivore,Least Concern,Europe
1016,Jeremiah Puma,Velez Romero,Mammal,Desert,Herbivore,Critically Endangered,Africa
1017,Nicole Eagle,Hale Lee,Bird,Ocean,Herbivore,Critically Endangered,Australia
1018,Shelly Tiger,Rose Koch,Reptile,Grasslands,Omnivore,Critically Endangered,Africa
1019,Darren Python,Lowery Hayden,Reptile,Wetlands,Omnivore,Endangered,Australia
1020,Christopher Owl,Armstrong Brown,Amphibian,Grasslands,Herbivore,Near Threatened,Europe
1021,Joyce Shark,Mitchell Ware,Mammal,Mountains,Omnivore,Near Threatened,Africa
1022,Miguel Eagle,Newton Hale,Bird,Mountains,Carnivore,Endangered,Europe
1023,Alejandra Crocodile,Mann Kim,Bird,Grasslands,Carnivore,Vulnerable,Worldwide
1024,Keith Lizard,Duffy Jones,Bird,Desert,Herbivore,Vulnerable,South America
1025,Leah Lizard,Foster Robertson,Fish,Caves,Omnivore,Vulnerable,Worldwide
1026,Brandon Bear,Reynolds Ross,Amphibian,Ocean,Omnivore,Critically Endangered,Asia
1027,Curtis Tiger,Mendoza Gonzalez,Fish,Caves,Carnivore,Near Threatened,North America
1028,Amy Python,Meyer Farmer,Mammal,Desert,Omnivore,Least Concern,North America
1029,Dawn Falcon,Harvey King,Bird,Rivers,Carnivore,Vulnerable,Asia
1030,Tammy Falcon,Brock Estes,Fish,Tundra,Herbivore,Critically Endangered,Australia
1031,Monica Eagle,Schultz Daniel,Bird,Grasslands,Herbivore,Endangered,Antarctica
1032,Jay Bear,Stewart Smith,Amphibian,Wetlands,Carnivore,Endangered,North America
1033,Amy Bear,Cox Wright,Reptile,Grasslands,Omnivore,Critically Endangered,North America
1034,Eric Bear,Hayes Herring,Mammal,Mountains,Omnivore,Endangered,Worldwide
1035,Danny Lizard,Strong Banks,Bird,Caves,Carnivore,Least Concern,North America
1036,Jacqueline Eagle,Williamson Richardson,Reptile,Ocean,Omnivore,Critically Endangered,Antarctica
1037,Carla Eagle,Kennedy Delacruz,Fish,Forest,Herbivore,Least Concern,Asia
1038,Thomas Puma,Smith Crane,Reptile,Desert,Carnivore,Vulnerable,Worldwide
1039,Abigail Crocodile,Dorsey Mendoza,Fish,Grasslands,Carnivore,Least Concern,Asia
1040,Melanie Crocodile,Mueller Turner,Fish,Tundra,Herbivore,Near Threatened,North America
1041,Crystal Eagle,Hickman Pham,Mammal,Ocean,Omnivore,Near Threatened,North America
1042,Tracy Puma,Jones Young,Reptile,Tundra,Herbivore,Near Threatened,Australia
1043,Robert Puma,Gordon Fischer,Amphibian,Savannah,Omnivore,Endangered,Asia
1044,Melissa Python,Gomez Andersen,Bird,Savannah,Herbivore,Endangered,Australia
1045,Kelsey Falcon,Barron Wells,Fish,Grasslands,Herbivore,Least Concern,North America
1046,Kimberly Tiger,Bowers Ramirez,Bird,Savannah,Omnivore,Endangered,Antarctica
1047,Christie Lizard,Parker Newman,Amphibian,Rivers,Omnivore,Least Concern,Africa
1048,Kenneth Owl,Vasquez Casey,Amphibian,Desert,Herbivore,Near Threatened,North America
1049,Cathy Puma,Haas Lee,Bird,Tundra,Herbivore,Near Threatened,Africa
1050,Sara Wolf,Medina Macias,Bird,Tundra,Omnivore,Vulnerable,Asia
1051,Sara Shark,Perez Jimenez,Bird,Desert,Carnivore,Near Threatened,Antarctica
1052,Lindsay Eagle,Hunter Perez,Bird,Caves,Omnivore,Least Concern,Africa
1053,Christopher Tiger,Campbell Wells,Amphibian,Tundra,Omnivore,Endangered,Asia
1054,Ryan Python,Garrett Nguyen,Amphibian,Desert,Herbivore,Critically Endangered,Australia
1055,David Puma,Neal Davies,Fish,Mountains,Herbivore,Endangered,Antarctica
1056,Shane Crocodile,Wilson Wells,Mammal,Savannah,Herbivore,Least Concern,Africa
1057,Lisa Bear,Knight Mathis,Reptile,Savannah,Carnivore,Vulnerable,Australia
1058,Stacy Tiger,Sutton Hayes,Amphibian,Mountains,Carnivore,Endangered,Worldwide
1059,Amanda Python,Dickerson Walker,Mammal,Desert,Omnivore,Least Concern,Asia
1060,Rachel Lizard,Eaton Smith,Reptile,Desert,Omnivore,Near Threatened,Europe
1061,Selena Owl,Ochoa Marquez,Bird,Tundra,Carnivore,Least Concern,Worldwide
1062,Alison Bear,King Riley,Fish,Wetlands,Omnivore,Near Threatened,Asia
1063,Omar Owl,Gutierrez Carr,Amphibian,Desert,Carnivore,Near Threatened,Asia
1064,Erin Eagle,Cortez Henderson,Fish,Tundra,Herbivore,Vulnerable,Europe
1065,Katie Puma,Grant Carter,Bird,Mountains,Carnivore,Least Concern,Antarctica
1066,Carrie Falcon,Miller Burnett,Bird,Grasslands,Carnivore,Vulnerable,Australia
1067,Stephen Eagle,Johnston Davis,Bird,Ocean,Carnivore,Least Concern,Australia
1068,Kathleen Crocodile,Nguyen Hall,Amphibian,Mountains,Carnivore,Vulnerable,Africa
1069,William Bear,Meadows Horn,Mammal,Ocean,Herbivore,Vulnerable,Asia
1070,Chad Wolf,West Singh,Reptile,Forest,Omnivore,Endangered,North America
1071,Gina Owl,Carroll Wood,Reptile,Forest,Omnivore,Critically Endangered,Africa
1072,Samuel Tiger,Stone Perez,Amphibian,Rivers,Herbivore,Endangered,Africa
1073,Joshua Shark,Spears Brown,Mammal,Caves,Herbivore,Endangered,Worldwide
1074,Brandi Bear,Jackson Morales,Amphibian,Desert,Carnivore,Endangered,Europe
1075,Brian Shark,Blackwell Powers,Bird,Savannah,Herbivore,Vulnerable,Europe
1076,Emily Tiger,Beard Mccormick,Fish,Ocean,Herbivore,Endangered,Worldwide
1077,Michael Owl,Taylor Villanueva,Bird,Desert,Herbivore,Critically Endangered,Australia
1078,Bethany Falcon,Johnson Webb,Bird,Tundra,Carnivore,Endangered,South America
1079,Phillip Crocodile,Beasley Irwin,Reptile,Tundra,Herbivore,Vulnerable,Asia
1080,Adam Lizard,Cervantes Ramos,Amphibian,Grasslands,Carnivore,Endangered,Africa
1081,Daisy Bear,Jones Joyce,Amphibian,Ocean,Herbivore,Vulnerable,Antarctica
1082,Brittany Eagle,Carroll Mcdaniel,Reptile,Ocean,Omnivore,Critically Endangered,Asia
1083,Terri Bear,Stevens Mcdaniel,Fish,Mountains,Carnivore,Near Threatened,Asia
1084,Katherine Lizard,Stevens Fuller,Reptile,Rivers,Carnivore,Near Threatened,Africa
1085,Michelle Owl,Bentley Burns,Reptile,Wetlands,Carnivore,Endangered,Australia
1086,Mark Crocodile,Gonzalez Savage,Reptile,Savannah,Omnivore,Least Concern,Worldwide
1087,Alexa Crocodile,Bowers Jackson,Amphibian,Grasslands,Carnivore,Critically Endangered,South America
1088,Deborah Lizard,Shah Brown,Amphibian,Wetlands,Carnivore,Near Threatened,Australia
1089,Ashley Shark,Horton Chapman,Reptile,Tundra,Herbivore,Least Concern,Europe
1090,Kayla Wolf,Ballard Barnes,Amphibian,Desert,Herbivore,Vulnerable,Asia
1091,Nathan Bear,Wilson Williams,Bird,Caves,Herbivore,Endangered,Europe
1092,Matthew Shark,Hughes Pham,Fish,Savannah,Carnivore,Vulnerable,Africa
1093,Jennifer Crocodile,Cruz Hall,Fish,Rivers,Omnivore,Vulnerable,Europe
1094,Brooke Shark,Gaines Wolf,Amphibian,Grasslands,Herbivore,Critically Endangered,North America
1095,Valerie Eagle,Lozano Anderson,Fish,Grasslands,Omnivore,Critically Endangered,Europe
1096,Amanda Python,Beasley Watson,Reptile,Savannah,Carnivore,Near Threatened,South America
1097,Gregory Python,Wang Morris,Amphibian,Rivers,Carnivore,Near Threatened,Africa
1098,Daisy Crocodile,Olson Garrett,Reptile,Ocean,Omnivore,Least Concern,Antarctica
1099,William Wolf,Greene Sweeney,Fish,Savannah,Herbivore,Endangered,North America
1100,Brianna Shark,Erickson Hawkins,Amphibian,Wetlands,Carnivore,Near Threatened,South America
1101,Tracey Bear,Glass Taylor,Bird,Forest,Herbivore,Endangered,Antarctica
1102,Daniel Wolf,Johnson Zimmerman,Amphibian,Rivers,Carnivore,Vulnerable,North America
1103,Stephen Eagle,Parker Thomas,Fish,Ocean,Omnivore,Critically Endangered,North America
1104,Thomas Python,Baker Riley,Reptile,Wetlands,Omnivore,Endangered,South America
1105,Kevin Owl,Santiago May,Mammal,Mountains,Omnivore,Near Threatened,Africa
1106,Nicholas Python,Drake Richard,Amphibian,Grasslands,Omnivore,Near Threatened,Australia
1107,Jacob Python,Cole Bryant,Fish,Forest,Omnivore,Endangered,Antarctica
1108,Kelly Eagle,Hoffman Smith,Amphibian,Rivers,Herbivore,Vulnerable,South America
1109,Mary Lizard,Smith Howard,Fish,Ocean,Carnivore,Endangered,Worldwide
1110,Matthew Falcon,Lara Sanders,Fish,Ocean,Carnivore,Critically Endangered,Asia
1111,Faith Shark,Acosta Smith,Mammal,Grasslands,Herbivore,Critically Endangered,South America
1112,Stephanie Crocodile,Quinn Mcdowell,Bird,Wetlands,Omnivore,Near Threatened,Worldwide
1113,Jesse Wolf,Merritt Ramos,Bird,Caves,Omnivore,Least Concern,Europe
1114,Michael Puma,Davis Robinson,Bird,Desert,Herbivore,Vulnerable,Europe
1115,Kelsey Shark,Burton Thomas,Amphibian,Forest,Omnivore,Vulnerable,Worldwide
1116,Tony Puma,Lee Newman,Bird,Savannah,Herbivore,Near Threatened,Australia
1117,David Bear,Greene Garcia,Amphibian,Wetlands,Herbivore,Endangered,Australia
1118,Nicole Bear,Norton Myers,Amphibian,Ocean,Herbivore,Least Concern,Asia
1119,Melinda Bear,Welch Quinn,Mammal,Mountains,Carnivore,Critically Endangered,Europe
1120,David Eagle,Ramos Jones,Bird,Mountains,Omnivore,Least Concern,Africa
1121,Heather Bear,Gill Howell,Bird,Savannah,Omnivore,Least Concern,Australia
1122,Jason Lizard,Williams Jackson,Mammal,Forest,Carnivore,Near Threatened,North America
1123,Zachary Puma,Richards Craig,Bird,Rivers,Omnivore,Endangered,Worldwide
1124,Kimberly Crocodile,Hardy Atkins,Mammal,Ocean,Carnivore,Critically Endangered,Africa
1125,Angela Crocodile,Campbell Smith,Mammal,Mountains,Carnivore,Vulnerable,Australia
1126,Natalie Owl,Campbell Cuevas,Reptile,Caves,Omnivore,Least Concern,Antarctica
1127,Brittany Lizard,Jones Davis,Reptile,Forest,Carnivore,Critically Endangered,Asia
1128,Cameron Eagle,Leblanc Vaughn,Mammal,Rivers,Omnivore,Least Concern,Antarctica
1129,Christine Puma,Holmes Barrera,Amphibian,Desert,Omnivore,Endangered,Europe
1130,George Eagle,Richardson Hodges,Amphibian,Desert,Herbivore,Least Concern,North America
1131,Daniel Owl,Johnson Moreno,Bird,Grasslands,Herbivore,Near Threatened,Europe
1132,Robert Wolf,Anderson Mercer,Bird,Tundra,Herbivore,Least Concern,South America
1133,Aaron Falcon,Brown Holloway,Bird,Desert,Herbivore,Vulnerable,North America
1134,Alexandra Shark,Meadows Miller,Bird,Mountains,Carnivore,Vulnerable,Antarctica
1135,Anna Puma,Christian Hawkins,Reptile,Wetlands,Carnivore,Near Threatened,Europe
1136,David Crocodile,Price Hall,Reptile,Savannah,Herbivore,Near Threatened,Australia
1137,Joseph Lizard,Smith Underwood,Reptile,Forest,Herbivore,Least Concern,Asia
1138,Sean Owl,Livingston Bailey,Fish,Caves,Omnivore,Vulnerable,Asia
1139,Leslie Eagle,Salazar Jackson,Fish,Rivers,Omnivore,Near Threatened,Europe
1140,John Owl,Mayer Schwartz,Mammal,Rivers,Carnivore,Endangered,Australia
1141,Molly Lizard,Ali Baker,Reptile,Grasslands,Omnivore,Near Threatened,Asia
1142,Kevin Lizard,Thompson White,Fish,Tundra,Omnivore,Near Threatened,South America
1143,Taylor Tiger,Kemp Fuller,Bird,Wetlands,Herbivore,Near Threatened,Africa
1144,Benjamin Python,Barnett Nguyen,Mammal,Ocean,Carnivore,Critically Endangered,North America
1145,Troy Tiger,Oneal Perez,Fish,Wetlands,Omnivore,Critically Endangered,Worldwide
1146,David Wolf,Moore Jackson,Amphibian,Forest,Carnivore,Critically Endangered,Africa
1147,Steve Owl,Hart Green,Amphibian,Tundra,Herbivore,Endangered,South America
1148,Ricky Eagle,Lambert Fuller,Reptile,Wetlands,Omnivore,Least Concern,Worldwide
1149,Brenda Owl,Powell Jimenez,Bird,Rivers,Carnivore,Vulnerable,North America
1150,Brittany Python,Stewart Bowers,Bird,Caves,Herbivore,Near Threatened,Africa
1151,Lawrence Shark,Baxter Jimenez,Reptile,Ocean,Carnivore,Critically Endangered,Australia
1152,Joseph Eagle,Price Wallace,Amphibian,Forest,Carnivore,Vulnerable,Asia
1153,Tammy Eagle,Lewis Jimenez,Bird,Forest,Omnivore,Endangered,Africa
1154,Anna Puma,Perry Mcdonald,Mammal,Wetlands,Herbivore,Near Threatened,Worldwide
1155,Matthew Wolf,Lopez Hall,Amphibian,Rivers,Herbivore,Critically Endangered,Antarctica
1156,Christopher Owl,Griffin Mcdonald,Bird,Wetlands,Herbivore,Near Threatened,North America
1157,Nancy Owl,Eaton Baker,Fish,Mountains,Omnivore,Near Threatened,Antarctica
1158,Jeffrey Bear,Wilson Foster,Reptile,Caves,Omnivore,Vulnerable,Australia
1159,Derrick Bear,Sanders Nolan,Fish,Caves,Omnivore,Endangered,Australia
1160,Richard Bear,Vega Davis,Fish,Rivers,Carnivore,Near Threatened,Asia
1161,Robert Eagle,Ruiz Sharp,Fish,Rivers,Herbivore,Vulnerable,South America
1162,Jo Falcon,Scott Dickson,Reptile,Rivers,Carnivore,Least Concern,Africa
1163,Devin Bear,Davis Shelton,Amphibian,Grasslands,Herbivore,Least Concern,South America
1164,Denise Tiger,Edwards Campos,Fish,Desert,Herbivore,Least Concern,Europe
1165,Michelle Puma,Morris Watson,Fish,Rivers,Omnivore,Vulnerable,Asia
1166,Melissa Wolf,Ruiz Lynch,Reptile,Grasslands,Herbivore,Least Concern,Europe
1167,Isaac Puma,Galloway Davenport,Bird,Savannah,Herbivore,Vulnerable,Africa
1168,Sean Tiger,Hill Dixon,Fish,Desert,Herbivore,Least Concern,South America
1169,James Puma,Caldwell Alvarez,Bird,Rivers,Omnivore,Least Concern,Worldwide
1170,Ronald Puma,Bennett Rogers,Fish,Desert,Herbivore,Endangered,Worldwide
1171,Tina Owl,Lee Molina,Reptile,Forest,Herbivore,Endangered,North America
1172,Isabel Lizard,Garrett Vega,Mammal,Grasslands,Omnivore,Vulnerable,South America
1173,Cynthia Bear,Brown Dixon,Fish,Rivers,Omnivore,Endangered,South America
1174,William Bear,Cohen Mitchell,Amphibian,Grasslands,Herbivore,Endangered,Asia
1175,Bridget Eagle,Trujillo Kramer,Amphibian,Ocean,Omnivore,Critically Endangered,Antarctica
1176,Jessica Falcon,Johnson Strong,Reptile,Savannah,Carnivore,Near Threatened,Antarctica
1177,Kaitlin Falcon,Sanchez Waller,Reptile,Ocean,Herbivore,Near Threatened,Africa
1178,Edward Bear,Wolf Ruiz,Fish,Mountains,Herbivore,Near Threatened,Antarctica
1179,Michael Lizard,Cunningham Strickland,Fish,Desert,Carnivore,Near Threatened,Europe
1180,Jerry Python,Wilson Martinez,Reptile,Mountains,Omnivore,Least Concern,Antarctica
1181,Darius Crocodile,Hogan Huang,Mammal,Rivers,Omnivore,Vulnerable,Antarctica
1182,Jason Crocodile,Ramirez Acosta,Reptile,Forest,Carnivore,Near Threatened,Asia
1183,Rebecca Puma,Jones Shannon,Reptile,Mountains,Carnivore,Least Concern,Australia
1184,Toni Falcon,James Silva,Amphibian,Ocean,Omnivore,Critically Endangered,Australia
1185,Lisa Shark,Spears Stewart,Mammal,Desert,Omnivore,Near Threatened,Australia
1186,Abigail Wolf,Perkins Mueller,Bird,Wetlands,Herbivore,Vulnerable,South America
1187,Ricky Owl,Bruce Huynh,Amphibian,Caves,Carnivore,Endangered,Australia
1188,Nathan Crocodile,Martinez Kelly,Reptile,Tundra,Carnivore,Critically Endangered,Antarctica
1189,Desiree Tiger,Dillon Cox,Reptile,Caves,Omnivore,Least Concern,Antarctica
1190,Eric Lizard,Mueller Miller,Reptile,Forest,Omnivore,Vulnerable,Worldwide
1191,Jesse Crocodile,Ramirez Ford,Fish,Savannah,Herbivore,Endangered,Worldwide
1192,Janet Wolf,Mays Sanchez,Mammal,Desert,Herbivore,Critically Endangered,Africa
1193,Kristin Puma,Sampson Yoder,Mammal,Savannah,Carnivore,Near Threatened,Worldwide
1194,Jennifer Bear,Robinson Sharp,Fish,Rivers,Herbivore,Critically Endangered,South America
1195,Hannah Wolf,Hogan Lambert,Bird,Desert,Herbivore,Near Threatened,Europe
1196,Aaron Python,Pratt Russo,Bird,Rivers,Herbivore,Least Concern,Africa
1197,Robin Lizard,Vincent Hendrix,Bird,Savannah,Carnivore,Vulnerable,Europe
1198,Eric Bear,Stewart Bates,Fish,Ocean,Herbivore,Critically Endangered,Antarctica
1199,Meghan Owl,Salinas Scott,Reptile,Grasslands,Omnivore,Critically Endangered,Australia
1200,Valerie Bear,Thomas Harrison,Bird,Wetlands,Herbivore,Near Threatened,Antarctica
1201,Jeremy Falcon,Martin Kane,Reptile,Desert,Omnivore,Near Threatened,Europe
1202,Abigail Wolf,Hampton Cabrera,Bird,Ocean,Carnivore,Endangered,Europe
1203,Julian Crocodile,Miller Bryant,Bird,Wetlands,Omnivore,Critically Endangered,Asia
1204,James Puma,Stevenson Barrera,Amphibian,Rivers,Omnivore,Vulnerable,Antarctica
1205,Cindy Bear,Yu Miles,Bird,Tundra,Omnivore,Vulnerable,North America
1206,Robert Python,Horton Cruz,Bird,Wetlands,Omnivore,Least Concern,Europe
1207,Susan Eagle,Riley Barnett,Fish,Grasslands,Omnivore,Vulnerable,Worldwide
1208,Diana Shark,Ramos Carey,Fish,Caves,Carnivore,Critically Endangered,Europe
1209,Laura Tiger,Davis Bryan,Amphibian,Forest,Carnivore,Endangered,North America
1210,Elizabeth Crocodile,Ortiz Preston,Fish,Wetlands,Herbivore,Vulnerable,Australia
1211,Donna Wolf,Martin Johnson,Bird,Mountains,Herbivore,Critically Endangered,Australia
1212,Joshua Falcon,Taylor Larson,Amphibian,Savannah,Omnivore,Least Concern,North America
1213,Monica Python,Ingram Price,Fish,Wetlands,Herbivore,Vulnerable,Europe
1214,Rebecca Puma,Buchanan Pena,Mammal,Rivers,Herbivore,Vulnerable,Worldwide
1215,David Bear,Hicks Spencer,Reptile,Ocean,Omnivore,Critically Endangered,Asia
1216,Judy Shark,Russo Torres,Bird,Grasslands,Carnivore,Endangered,Africa
1217,Joyce Python,Carter Gallagher,Amphibian,Caves,Herbivore,Near Threatened,Worldwide
1218,Christian Owl,Schmidt Powell,Mammal,Rivers,Carnivore,Least Concern,Worldwide
1219,Richard Crocodile,Smith Simon,Bird,Tundra,Omnivore,Least Concern,Australia
1220,Lisa Lizard,Rivera Cooper,Mammal,Mountains,Herbivore,Critically Endangered,Africa
1221,Michael Tiger,Kemp Ortiz,Mammal,Ocean,Carnivore,Endangered,Africa
1222,Luke Bear,Soto Conway,Reptile,Tundra,Omnivore,Near Threatened,Australia
1223,Nicole Python,Walsh Zimmerman,Reptile,Rivers,Herbivore,Least Concern,North America
1224,Lorraine Owl,Morrison Contreras,Bird,Mountains,Omnivore,Critically Endangered,North America
1225,Tanya Puma,Hill Jarvis,Reptile,Caves,Carnivore,Endangered,Africa
1226,Daniel Tiger,Hinton Watson,Amphibian,Grasslands,Herbivore,Critically Endangered,Antarctica
1227,Melissa Python,Tucker Cooper,Bird,Tundra,Carnivore,Vulnerable,South America
1228,Mark Owl,Watson Perez,Fish,Caves,Herbivore,Near Threatened,Antarctica
1229,George Bear,Barber Franklin,Amphibian,Tundra,Omnivore,Endangered,Australia
1230,Brett Bear,Thompson Allen,Fish,Ocean,Herbivore,Near Threatened,Asia
1231,Timothy Crocodile,Lucas Ramos,Reptile,Caves,Herbivore,Vulnerable,Africa
1232,Matthew Shark,Mcintosh Watson,Amphibian,Desert,Omnivore,Near Threatened,Worldwide
1233,Nancy Falcon,Beck Taylor,Bird,Caves,Omnivore,Near Threatened,Africa
1234,William Falcon,Jenkins Lane,Fish,Caves,Omnivore,Least Concern,Europe
1235,Hannah Eagle,Franco Simmons,Mammal,Caves,Carnivore,Critically Endangered,North America
